timestamps,TP9,AF7,AF8,TP10,Right AUX
1731796503.574,433.594,850.098,85.938,-495.605,0.000
1731796503.578,-754.883,809.570,115.723,-983.398,0.000
1731796503.582,759.766,-849.609,96.680,910.645,0.000
1731796503.585,-582.031,-1000.000,22.461,-721.680,0.000
1731796503.589,176.270,661.133,0.488,-1000.000,0.000
1731796503.593,-791.504,-953.613,55.176,733.398,0.000
1731796503.597,920.410,-604.980,66.406,-993.652,0.000
1731796503.601,-543.945,-1000.000,13.184,-645.508,0.000
1731796503.605,-358.398,374.023,-20.508,-1000.000,0.000
1731796503.609,-988.770,-825.684,24.902,437.012,0.000
1731796503.613,-867.676,-40.527,50.293,-964.844,0.000
1731796503.617,56.641,-1000.000,8.301,-473.145,0.000
1731796503.621,-800.781,-340.332,-30.273,-1000.000,0.000
1731796503.625,625.977,-932.617,9.277,-620.117,0.000
1731796503.628,-762.207,718.750,42.969,847.168,0.000
1731796503.632,604.980,-915.527,16.113,98.145,0.000
1731796503.636,-601.562,-869.629,-38.086,-1000.000,0.000
1731796503.640,408.691,832.520,-16.602,-875.488,0.000
1731796503.644,-751.953,984.375,38.086,701.660,0.000
1731796503.648,770.508,-714.355,8.789,813.477,0.000
1731796503.652,-608.398,-1000.000,-44.434,-882.812,0.000
1731796503.656,119.141,654.785,-34.180,-1000.000,0.000
1731796503.660,-813.965,-910.156,14.160,539.062,0.000
1731796503.664,961.426,-539.062,28.320,993.652,0.000
1731796503.667,-509.277,-1000.000,-13.184,-651.367,0.000
1731796503.671,-676.270,430.664,-45.898,-1000.000,0.000
1731796503.675,894.531,-828.125,-3.418,212.402,0.000
1731796503.679,-825.195,43.945,24.902,-923.828,0.000
1731796503.683,34.180,-1000.000,-7.324,-360.352,0.000
1731796503.687,-911.133,-588.867,-46.387,-1000.000,0.000
1731796503.691,499.512,977.051,-2.930,-311.035,0.000
1731796503.695,-744.141,530.273,38.086,-944.824,0.000
1731796503.699,600.098,-1000.000,16.602,490.723,0.000
1731796503.703,-708.984,-905.762,-24.902,-1000.000,0.000
1731796503.707,292.480,729.004,-22.949,-923.828,0.000
1731796503.710,-772.461,-992.188,9.277,729.980,0.000
1731796503.714,824.219,-715.820,0.000,940.918,0.000
1731796503.718,-687.500,-1000.000,-47.852,-769.043,0.000
1731796503.722,-395.996,654.785,-41.016,-1000.000,0.000
1731796503.726,-916.992,-912.109,3.906,598.145,0.000
1731796503.730,997.070,-548.828,-1.465,-973.145,0.000
1731796503.734,-546.875,-1000.000,-37.109,-643.555,0.000
